Date,Time,NumSatellites,Fix,Latitude,Longitude,Altitude
,,0,0,0,0,0
,,0,0,0,0,0
1980-01-06,00:00:01,0,0,0,0,0
1980-01-06,00:00:03,3,0,0,0,0
1980-01-06,00:00:05,3,0,0,0,0
1980-01-06,00:00:07,4,0,0,0,0
1980-01-06,00:00:09,4,0,0,0,0
1980-01-06,00:00:11,4,0,0,0,0
1980-01-06,00:00:13,4,0,0,0,0
1980-01-06,00:00:15,6,0,0,0,0
1980-01-06,00:00:17,5,0,0,0,0
1980-01-06,00:00:19,5,0,0,0,0
